Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
937,789,360,283,626,859,188,844,523,822
46,361,942,100,960,472,934,956,411,440
949,693,16,507,763,524,581,825,371,651
109,273,977,147,666,881,994,706,207,638
419,14,337,788,420,659,629,662,66,650
585,429,748,530,969,564,404,916,159,219
944,507,948,323,14,551,752,488,502,197
614,536,269,991,713,996,5,36,402,372
515,145,246,761,89,762,703,174,37,522
863,295,967,702,137,627,168,942,527,914
323,411,557,766,419,960,390,621,676,897
600,363,670,48,243,538,914,994,829,651
139,661,848,148,466,254,839,634,122,300
703,340,691,547,451,316,515,671,337,891
993,154,272,845,940,590,645,22,641,997
454,411,316,495,790,5,657,327,880,326
666,467,803,270,198,171,36,823,233,947
845,718,88,880,789,467,58,208,744,206
230,586,47,937,249,198,558,405,339,656
926,464,113,824,501,676,328,770,4,909
22,561,218,531,998,375,985,5,487,233
460,900,527,259,293,641,258,463,50,266
538,395,75,506,962,557,398,518,127,302
931,709,415,188,14,716,293,892,215,642
378,891,42,841,603,765,372,872,363,645
942,755,548,880,107,352,924,343,275,6
278,219,780,898,180,377,149,33,698,458
646,125,309,876,2,905,894,708,40,900
170,943,543,850,973,959,383,752,839,716
261,619,180,753,159,154,661,657,363,748
707,373,320,594,492,209,444,790,31,409
33,15,372,108,659,67,253,671,502,539
18,311,116,845,74,850,363,53,198,80
201,380,153,254,663,663,606,802,822,879
409,119,61,911,220,134,333,372,193,108
98,881,917,761,256,453,184,628,587,306
6,725,860,575,202,988,828,357,55,914
819,131,345,404,804,529,960,950,252,665
731,938,587,25,197,931,328,635,547,898
75,724,340,870,456,927,730,800,234,507
379,598,423,112,147,325,985,393,26,461
904,879,826,876,826,921,242,831,740,417
157,699,815,930,215,295,669,397,245,821
5,824,849,771,393,173,811,424,756,256
708,227,499,850,176,648,137,355,281,233
965,579,20,627,731,387,563,16,607,762
773,383,82,451,929,543,329,825,858,244
310,585,671,351,854,638,145,913,704,526
337,812,372,809,951,263,30,555,28,743
308,922,579,829,457,794,235,25,514,698
597,893,252,124,132,911,455,79,526,299
891,991,488,792,651,940,709,606,90,771
556,321,7,924,978,109,526,479,208,905
399,653,508,114,938,473,512,73,789,628
301,646,400,99,236,527,1000,13,751,769
958,333,58,762,926,715,822,825,871,344
67,191,807,557,581,39,413,91,129,389
977,692,934,933,134,623,410,744,290,63
556,746,727,364,88,929,45,551,796,934
930,604,41,560,73,397,159,793,748,275
935,879,349,974,231,900,182,277,976,923
256,394,722,183,417,640,297,337,33,486
519,837,877,224,420,730,964,484,3,408
241,336,727,853,26,168,869,338,244,870
764,327,674,772,99,78,563,712,883,806
344,524,759,425,10,238,579,938,759,850
45,459,834,339,509,918,841,668,577,142
542,303,108,461,387,182,32,984,249,875
724,37,579,476,920,897,59,436,623,610
885,684,611,521,711,834,615,208,269,655
339,446,920,126,758,320,8,795,371,556
320,751,905,230,535,279,747,34,72,638
412,343,171,212,819,674,766,190,85,535
444,875,588,372,486,809,690,740,167,660
119,13,862,191,920,43,634,993,711,722
211,402,711,72,421,559,670,124,430,177
798,220,738,841,695,293,696,626,54,83
154,120,753,309,41,168,480,458,984,722
702,356,156,34,262,928,537,33,238,33
118,889,790,655,63,101,751,530,412,444
702,918,382,958,694,240,389,130,541,23
119,747,186,253,420,182,461,986,383,797
143,374,814,212,295,833,518,881,640,189
413,54,782,906,864,444,487,136,28,867
527,746,28,930,741,44,306,129,468,618
758,445,664,56,831,697,93,179,62,675
639,685,338,501,214,3,122,944,138,952
972,926,280,203,750,56,14,542,162,551
805,946,10,422,603,16,169,89,606,360
276,533,921,118,812,128,930,214,722,453
706,409,934,934,413,786,864,187,771,492
633,555,945,455,673,46,420,242,825,848
716,32,376,932,679,489,591,394,365,893
233,429,386,733,219,2,839,216,215,538
324,954,810,166,224,488,147,837,667,541
13,213,268,115,434,587,457,9,788,853
497,366,292,14,323,400,262,445,318,725
15,528,991,107,561,326,913,583,952,303
393,480,135,37,656,169,759,448,295,505
535,799,637,607,116,575,190,480,482,690
750,99,701,474,462,705,855,906,779,606
540,973,467,835,835,550,499,206,522,910
45,683,223,308,863,435,40,125,596,599
805,509,902,958,145,416,966,644,1000,733
416,879,214,192,824,639,916,801,483,905
907,340,421,243,119,46,214,944,112,523
774,306,555,433,662,703,695,41,245,962
483,136,552,521,636,705,890,11,218,160
243,948,546,759,34,248,757,210,452,765
633,440,228,555,766,22,514,707,479,962
160,764,665,39,830,487,276,544,224,435
682,863,6,457,328,11,351,737,118,487
445,833,151,931,231,807,683,125,782,74
503,15,481,375,584,202,262,183,440,472
261,712,307,722,631,334,786,154,528,619
380,312,512,336,739,306,267,55,592,783
790,841,229,904,736,354,659,560,703,488
659,313,70,293,576,111,172,950,642,44
646,654,181,608,787,747,310,619,366,622
87,464,408,972,762,766,781,245,852,345
168,328,623,542,228,704,622,439,929,923
589,386,941,882,103,399,770,279,557,702
231,350,113,806,652,539,979,618,186,137
775,30,198,107,244,291,567,203,393,4
841,822,245,996,906,197,394,205,620,57
576,309,839,674,672,467,915,844,985,663
237,976,135,289,108,295,306,166,829,520
80,797,899,207,46,575,833,778,705,258
520,294,600,581,720,599,125,713,583,328
747,791,272,713,898,920,832,714,574,844
685,182,965,891,713,924,622,729,269,992
742,877,317,365,326,227,746,252,859,243
632,431,831,982,326,307,30,374,753,908
338,405,403,58,278,478,660,626,250,168
706,43,64,778,948,994,816,521,824,501
221,468,60,811,504,322,566,8,827,608
268,598,582,782,944,109,91,367,959,99
181,696,935,751,891,523,937,485,362,553
858,370,363,690,236,648,314,861,728,662
1,747,197,375,806,907,929,916,849,475
672,399,886,529,25,651,638,412,400,204
705,792,616,557,427,208,241,88,85,707
240,133,375,538,658,133,470,982,805,708
179,769,173,339,522,276,690,862,970,611
167,939,226,852,996,641,66,848,665,342
184,336,792,321,730,78,968,614,118,792
259,678,402,490,742,492,4,647,376,208
166,89,471,985,335,583,554,117,935,64
825,361,299,318,514,24,281,366,557,631
798,908,753,926,243,655,173,193,766,999
989,452,681,156,397,347,687,737,800,929
652,197,981,956,555,355,494,484,663,712
288,326,932,43,854,808,671,667,165,358
924,211,938,665,815,303,141,583,518,658
695,539,214,482,664,858,62,946,770,266
868,243,597,499,78,941,75,405,569,690
175,523,470,764,598,278,94,719,466,763
770,114,57,12,573,892,762,285,33,150
855,286,356,224,526,283,247,746,875,464
597,587,798,383,559,687,885,40,325,855
326,359,836,434,695,943,218,937,510,782
156,249,555,100,773,942,510,289,174,303
758,564,898,555,878,355,430,79,747,676
187,298,78,446,45,877,134,416,91,268
471,969,203,987,493,603,923,356,753,42
376,887,740,874,939,671,556,62,846,821
317,266,648,713,808,564,530,423,949,516
216,588,787,144,540,16,321,936,872,432
436,473,375,145,719,198,185,68,163,793
800,102,494,909,947,869,722,978,624,136
391,54,236,815,404,118,792,932,768,596
5,933,379,326,142,78,968,715,868,772
245,443,701,761,775,301,614,276,38,524
797,487,361,677,900,86,324,459,605,721
39,777,116,114,942,533,113,585,407,398
501,389,29,568,234,331,952,944,897,38
171,790,319,551,474,833,462,287,39,953
293,908,716,723,169,117,499,68,26,223
854,321,627,259,137,732,340,506,810,444
229,909,109,634,477,498,946,914,828,24
195,197,572,937,576,600,785,200,917,421
421,718,194,70,168,164,388,769,167,192
323,564,137,238,634,657,366,845,490,925
262,293,420,509,987,589,458,975,788,968
28,458,465,436,720,764,208,301,557,380
771,908,227,490,477,581,622,821,450,372
106,118,305,325,390,280,795,468,57,461
616,329,642,725,62,425,714,181,937,401
817,949,98,742,907,309,74,114,728,191
26,560,819,389,425,535,718,424,149,611
183,156,785,408,104,978,508,466,413,139
105,83,334,360,611,925,531,948,755,521
549,471,127,362,847,843,484,37,35,13
788,255,563,315,710,332,697,607,216,123
316,573,489,422,675,805,747,470,648,503
458,225,843,331,392,439,36,688,223,793
229,396,172,300,121,897,712,365,932,925
791,190,153,790,664,732,4,401,8,380
583,978,750,87,739,530,206,172,654,990
183,691,468,573,5,342,553,374,299,202
178,656,548,584,446,924,229,485,720,846
59,688,706,930,778,14,114,296,453,147
90,15,839,599,706,556,319,766,36,362
24,590,73,890,279,430,514,458,735,554
759,966,732,359,327,113,491,789,203,394
138,494,325,658,930,769,877,383,270,544
757,564,893,736,129,995,613,899,438,471
881,295,636,512,749,350,944,62,45,758
69,669,209,416,475,684,722,377,45,932
987,607,31,947,18,115,636,517,893,279
780,914,831,496,526,113,150,278,799,982
376,189,648,866,526,57,965,321,537,858
85,549,761,948,692,600,559,710,723,406
172,191,254,983,233,141,762,178,840,352
172,121,860,355,627,978,97,74,365,990
383,295,354,233,675,556,309,633,326,45
535,28,492,697,559,561,158,845,295,409
769,791,336,135,862,313,114,414,405,620
187,865,981,793,144,744,910,61,990,570
393,778,579,6,822,646,168,34,722,526
751,592,768,540,489,37,468,21,541,757
262,907,769,613,565,234,375,564,663,656
316,796,231,727,806,84,545,950,464,432
635,700,984,89,303,569,835,50,872,339
300,813,354,20,150,836,644,791,469,362
461,575,740,812,386,695,298,871,410,520
170,504,452,751,224,568,994,515,784,789
361,304,742,129,192,478,797,503,487,965
448,800,426,847,292,673,558,743,299,768
368,169,989,382,118,700,176,866,911,831
515,498,899,682,289,318,575,710,927,245
127,440,668,63,884,862,202,491,149,451
37,768,132,139,195,823,690,562,710,893
829,78,69,992,149,720,131,775,355,606
139,783,542,411,344,113,656,266,506,836
331,725,983,383,218,677,990,676,864,672
463,580,529,870,851,90,786,684,276,189
347,810,710,129,593,400,64,915,839,660
762,646,158,767,178,825,365,899,492,682
296,435,63,57,838,510,627,597,219,734
539,964,91,20,525,435,377,37,520,758
650,422,418,536,13,627,142,652,749,293
148,2,45,784,688,102,506,739,937,14
217,144,791,920,913,926,243,886,218,557
140,868,555,886,991,892,196,864,908,605
541,740,724,886,88,274,655,77,191,286
354,696,515,612,313,19,153,815,134,450
905,500,18,585,15,836,830,842,942,255
995,606,98,633,726,607,698,545,576,20
177,111,290,94,188,799,71,116,905,673
160,533,722,843,946,499,728,285,705,281
368,404,611,31,315,405,383,743,878,387
381,433,548,22,905,426,990,864,641,872
320,482,195,786,401,470,768,452,975,474
806,416,764,702,246,293,165,756,724,434
504,648,50,52,842,511,867,744,601,67
135,774,548,121,712,382,343,74,96,42
253,191,695,27,263,2,231,900,665,455
131,106,494,502,324,31,37,228,57,169
485,883,39,997,317,779,665,13,811,644
286,207,746,665,682,579,102,462,813,924
907,60,811,877,511,844,289,52,331,606
939,937,234,596,970,550,923,590,444,858
77,160,85,656,195,713,18,613,92,392
720,121,311,556,861,375,96,231,160,592
788,917,995,278,324,432,741,463,76,927
975,340,494,538,967,943,460,640,320,201
501,204,205,919,761,523,677,423,668,469
519,940,206,817,393,917,581,655,760,683
172,33,690,800,71,316,567,981,7,15
546,771,121,189,921,802,484,47,375,255
841,936,823,321,597,74,445,619,468,168
327,698,406,135,119,961,785,416,685,342
214,344,548,828,249,701,536,573,456,522
943,515,994,71,122,922,577,527,61,738
648,196,894,268,38,505,470,444,496,986
315,339,152,188,112,548,588,333,717,840
297,95,140,501,436,31,100,466,481,939
915,692,595,404,899,42,594,450,397,523
434,678,60,785,272,145,782,47,766,186
411,588,854,235,915,620,492,593,51,401
995,315,561,190,861,585,412,899,48,483
303,515,738,289,928,97,258,113,309,901
271,594,510,742,157,949,834,913,749,247
636,512,940,934,796,247,427,787,715,35
591,452,262,614,687,528,892,882,740,805
721,856,519,280,662,51,810,938,851,123
838,287,506,261,523,802,895,130,754,756
897,396,612,100,491,788,765,84,22,161
627,926,846,754,829,923,870,639,491,429
882,774,625,678,531,386,294,154,393,265
441,93,699,846,800,357,810,189,294,815
668,557,791,44,671,884,321,610,114,97
443,49,486,741,737,182,834,531,78,472
351,264,670,93,679,321,781,844,160,296
582,416,950,880,852,346,85,718,30,945
153,262,292,515,591,972,768,395,612,439
553,328,661,829,890,97,978,138,942,148
721,349,690,503,444,158,174,413,801,501
49,386,557,18,514,400,165,528,448,402
933,98,708,221,625,539,694,981,894,414
696,708,378,402,192,907,793,829,474,198
23,483,786,126,966,520,485,663,289,167
241,512,814,705,889,2,272,755,379,181
157,567,805,460,86,315,452,66,985,73
75,970,279,817,301,263,224,943,944,918
800,874,757,646,947,553,239,687,615,695
428,931,617,365,241,461,271,899,701,867
321,728,532,532,73,55,657,475,983,33
909,702,232,142,523,928,5,490,898,621
661,493,281,172,143,396,260,224,882,907
689,773,939,340,45,198,228,208,483,982
870,37,151,685,535,25,999,501,758,479
32,275,437,459,270,263,257,487,880,961
822,56,817,930,316,626,155,949,743,561
310,551,341,39,460,709,532,402,237,578
628,413,615,227,945,368,729,743,683,490
583,71,269,307,612,786,531,537,838,369
437,414,13,959,957,260,13,694,154,377
820,787,559,716,628,348,985,310,805,44
912,235,527,775,714,989,503,979,173,42
215,567,934,322,265,664,269,932,452,675
692,574,885,28,467,113,300,724,804,249
794,55,206,540,308,87,264,252,972,379
181,663,445,131,195,340,81,1000,304,926
92,309,926,265,152,373,665,171,437,995
357,512,69,102,499,560,429,422,955,925
848,632,149,260,776,884,399,414,793,931
754,38,267,654,74,306,236,627,137,62
592,386,291,364,408,934,515,560,522,56
434,226,693,380,383,843,977,527,83,797
935,655,158,525,846,690,662,96,557,784
128,910,559,714,707,300,642,104,377,597
820,403,289,294,756,138,471,457,230,103
365,380,683,997,358,529,447,265,565,659
153,279,326,236,511,215,341,752,681,234
480,725,564,16,199,78,689,814,813,677
89,443,870,371,75,495,30,839,64,565
411,642,990,4,983,638,18,2,813,694
518,446,217,483,747,229,848,661,901,666
480,86,830,130,383,206,390,152,541,250
199,618,571,792,475,325,10,392,778,50
747,427,40,165,103,210,167,373,930,603
730,619,574,309,484,692,804,864,475,67
311,657,294,405,477,877,461,556,923,4
290,2,505,643,583,872,886,939,233,304
891,840,283,433,162,273,905,141,729,500
907,32,728,680,457,200,31,385,170,202
131,498,762,5,24,748,661,375,220,483
502,583,447,966,416,105,970,791,246,925
101,370,187,990,735,892,899,303,978,796
163,364,913,327,375,131,378,937,228,259
739,79,407,199,442,662,833,763,573,1000
266,411,466,451,464,379,633,952,467,250
151,874,131,22,911,112,460,81,565,212
496,214,404,365,112,984,829,240,189,968
537,930,60,576,981,503,375,273,228,322
613,141,502,399,433,643,931,622,712,679
89,86,114,895,880,969,224,296,681,395
602,581,54,270,7,639,467,494,267,219
704,825,552,861,812,19,114,651,683,134
57,871,190,23,897,427,611,511,713,164
646,226,404,576,598,85,802,51,169,531
68,669,962,613,783,563,451,274,584,124
710,735,525,97,547,887,58,666,539,977
175,805,103,891,342,176,310,606,142,637
532,436,113,398,340,4,778,213,301,922
736,353,824,107,118,691,602,879,462,201
971,87,423,729,748,690,293,984,570,643
121,519,327,27,292,623,257,864,468,978
525,176,117,110,129,429,599,534,240,499
638,784,965,223,603,350,26,96,670,642
335,738,203,991,838,654,610,312,563,763
310,493,479,418,631,280,401,321,111,158
29,599,94,559,126,276,543,246,435,23
478,150,243,488,61,932,988,419,11,619
256,680,438,733,210,433,511,804,326,663
54,224,441,494,951,989,694,416,538,372
482,858,268,766,463,17,372,322,372,678
403,376,571,741,380,195,772,263,90,598
304,796,599,504,706,448,385,217,209,781
804,678,939,958,102,610,2,118,524,138
939,221,183,110,369,708,262,740,327,10
126,205,443,242,835,721,459,841,703,263
45,631,373,853,601,485,230,622,966,723
301,812,577,401,596,905,115,202,354,96
908,258,452,297,858,940,296,907,285,356
800,421,415,651,511,361,137,219,242,994
618,336,429,656,603,907,487,596,891,720
915,68,815,927,701,132,221,286,363,96
552,403,430,238,722,477,96,406,929,631
220,685,470,923,911,564,112,198,98,321
845,828,703,368,839,523,818,166,802,623
133,823,714,741,399,575,601,1,969,135
863,552,510,177,895,158,688,379,397,7
588,679,512,615,819,910,952,770,113,215
258,812,95,550,472,488,906,504,197,842
62,738,211,461,671,709,70,164,290,117
102,867,949,461,421,392,537,394,190,263
941,701,262,574,809,269,91,868,384,554
646,984,350,656,870,537,824,811,317,591
464,610,38,275,289,947,170,153,548,673
161,722,203,805,740,178,233,992,904,874
82,167,111,158,165,605,940,537,655,142
603,951,959,38,816,548,957,255,951,76
624,490,894,991,128,51,721,809,792,38
642,311,879,562,813,489,166,934,182,174
389,776,645,271,670,92,958,482,874,3
167,462,455,1,962,92,773,979,911,510
959,720,644,19,293,45,674,822,710,333
905,464,929,680,468,920,70,31,596,988
461,373,444,405,873,652,912,15,160,566
701,130,508,951,518,237,46,504,418,749
881,568,610,626,399,749,153,769,846,316
437,272,531,962,25,496,793,789,76,921
813,96,121,171,894,849,176,959,982,671
225,844,406,411,565,606,616,245,777,662
153,543,745,338,386,307,359,923,130,121
101,948,794,770,724,365,331,626,732,263
162,501,752,722,921,667,712,798,33,76
368,563,291,457,401,430,129,28,466,28
371,637,609,419,679,176,487,896,283,156
523,486,841,186,838,796,5,222,487,79
530,31,865,890,709,315,214,749,492,432
466,695,649,917,92,871,870,20,38,172
187,397,625,222,148,4,973,494,860,529
198,36,796,337,652,183,840,188,120,713
556,433,342,100,94,147,145,214,629,752
53,675,266,574,463,387,665,153,504,609
194,604,80,950,721,115,462,417,18,450
762,862,361,223,934,93,341,311,982,771
275,573,544,784,546,961,341,188,838,421
258,646,288,435,180,781,356,292,646,299
887,460,426,20,659,656,636,836,690,492
367,409,966,747,891,184,731,559,382,126
141,81,803,722,807,661,551,371,875,384
736,591,490,590,868,13,17,157,140,432
484,302,621,301,226,667,177,138,676,268
681,463,415,592,540,281,178,664,605,310
321,62,953,483,108,989,90,906,839,210
668,689,321,472,476,770,851,351,538,920
851,866,562,545,462,466,845,483,573,991
705,398,276,865,886,601,133,42,874,656
870,521,306,450,505,111,875,315,617,316
109,229,418,427,620,515,192,609,662,176
926,627,673,207,493,113,481,844,536,712
73,288,618,790,943,176,150,419,832,230
744,201,929,706,997,664,68,949,391,770
137,471,590,118,442,393,232,890,602,645
877,137,8,469,313,607,364,176,681,780
490,981,222,774,957,655,895,297,783,602
339,140,281,781,161,669,45,363,384,619
265,689,40,841,39,704,562,811,964,16
972,876,934,121,365,42,697,869,133,956
86,825,981,424,954,968,849,917,430,948
356,971,864,691,628,748,336,730,569,899
958,257,222,676,44,134,679,207,961,622
471,595,678,443,656,866,514,646,579,612
606,254,384,85,50,273,418,432,79,199
224,712,25,296,943,608,837,468,358,173
187,135,543,550,665,911,724,780,211,202
928,935,283,753,625,965,512,823,86,924
820,801,518,755,358,285,252,464,521,972
368,206,840,764,332,197,299,186,976,573
135,50,239,254,568,668,227,820,951,559
73,245,948,859,115,873,825,602,378,755
795,757,389,415,625,792,293,895,407,497
879,69,652,427,584,536,300,648,823,993
320,508,992,406,377,540,475,198,322,387
522,932,888,387,278,776,80,618,322,829
380,571,285,506,384,584,931,106,243,915
887,572,558,655,241,431,170,948,586,470
268,4,27,461,46,270,167,814,337,938
957,560,13,552,750,683,367,445,764,40
311,256,343,801,149,215,283,811,632,800
82,290,110,801,326,409,755,694,719,140
914,655,165,862,746,936,602,447,565,335
183,298,527,903,805,210,941,605,727,946
787,990,254,172,422,652,527,302,85,36
393,607,221,254,233,297,261,524,315,709
974,287,130,455,103,636,191,157,423,455
561,629,248,878,903,67,888,889,523,347
546,771,461,267,50,602,887,357,841,356
90,157,742,462,784,638,874,717,938,878
174,573,561,994,556,206,656,281,787,120
848,339,923,281,614,684,745,110,565,837
482,741,494,737,902,689,117,476,648,502
299,771,346,872,598,938,142,234,696,214
237,577,190,890,381,689,548,982,577,230
417,376,160,241,425,996,430,863,789,847
45,263,124,508,697,430,971,449,263,585
735,126,218,473,591,395,47,740,779,781
2,780,839,820,971,305,444,74,775,754
646,525,339,575,625,47,477,154,952,534
536,850,523,562,962,854,815,118,891,636
872,7,400,203,734,477,118,76,893,338
917,456,426,729,591,506,923,920,177,859
11,221,389,137,431,661,200,415,987,387
45,627,736,401,720,931,299,184,799,504
942,311,511,161,380,372,488,330,16,357
100,982,304,340,933,500,660,302,824,866
380,380,509,365,598,327,718,641,963,492
711,924,642,770,975,370,659,641,642,336
238,807,168,939,355,233,413,425,83,168
30,1000,638,13,400,384,946,755,707,875
715,299,29,984,872,625,64,599,266,280
344,342,935,188,887,89,597,2,521,320
696,106,349,850,561,330,525,797,14,250
392,328,788,12,77,728,841,491,747,110
265,221,882,514,994,143,212,120,423,136
547,556,954,157,167,941,914,255,464,145
30,433,802,334,309,550,459,283,321,736
331,193,769,121,270,34,345,899,161,364
930,702,151,940,856,806,822,837,377,583
232,208,808,227,258,773,189,894,394,787
